
Namespace                         ResourceType                                                                                         Ali
Microsoft.DocumentDB              databaseAccounts/apis/keyspaces/settings                                                             {M…
Microsoft.DocumentDB              databaseAccounts/apis/keyspaces/tables                                                               {M…
Microsoft.DocumentDB              databaseAccounts/apis/keyspaces/tables/settings                                                      {M…
Microsoft.DocumentDB              databaseAccounts/apis/tables                                                                         {M…
Microsoft.DocumentDB              databaseAccounts/apis/tables/settings                                                                {M…
Microsoft.DocumentDB              databaseAccounts/notebookWorkspaces                                                                  {M…
Microsoft.EventGrid               eventSubscriptions                                                                                   {M…
Microsoft.EventGrid               topics                                                                                               {M…
Microsoft.EventGrid               domains                                                                                              {M…
Microsoft.EventGrid               domains/topics                                                                                       {M…
Microsoft.EventGrid               systemTopics                                                                                         {M…
Microsoft.EventGrid               partnerRegistrations                                                                                 {M…
Microsoft.EventGrid               partnerNamespaces                                                                                    {M…
Microsoft.EventGrid               partnerTopics                                                                                        {M…
Microsoft.EventGrid               partnerNamespaces/eventChannels                                                                      {M…
Microsoft.EventGrid               domains/privateEndpointConnections                                                                   {M…
Microsoft.EventGrid               topics/privateEndpointConnections                                                                    {M…
Microsoft.EventHub                namespaces                                                                                           {M…
Microsoft.EventHub                clusters                                                                                             {M…
Microsoft.EventHub                namespaces/authorizationrules                                                                        {M…
Microsoft.EventHub                namespaces/networkrulesets                                                                           {M…
Microsoft.EventHub                namespaces/privateEndpointConnections                                                                {M…
Microsoft.EventHub                namespaces/eventhubs                                                                                 {M…
Microsoft.EventHub                namespaces/eventhubs/authorizationrules                                                              {M…
Microsoft.EventHub                namespaces/eventhubs/consumergroups                                                                  {M…
Microsoft.EventHub                namespaces/disasterrecoveryconfigs                                                                   {M…
Microsoft.EventHub                namespaces/ipFilterRules                                                                             {M…
Microsoft.EventHub                namespaces/virtualNetworkRules                                                                       {M…
Microsoft.GuestConfiguration      guestConfigurationAssignments                                                                        {M…
Microsoft.HDInsight               clusters                                                                                             {M…
Microsoft.HDInsight               clusters/applications                                                                                {M…
Microsoft.HealthcareApis          services                                                                                             {M…
Microsoft.HealthcareApis          services/privateEndpointConnections                                                                  {M…
Microsoft.HybridCompute           machines                                                                                             {M…
Microsoft.HybridCompute           machines/extensions                                                                                  {M…
microsoft.insights                components                                                                                           {M…
microsoft.insights                webtests                                                                                             {M…
microsoft.insights                scheduledqueryrules                                                                                  {M…
microsoft.insights                components/pricingPlans                                                                              {M…
microsoft.insights                logprofiles                                                                                          {M…
microsoft.insights                metricalerts                                                                                         {M…
microsoft.insights                alertrules                                                                                           {M…
microsoft.insights                autoscalesettings                                                                                    {M…
microsoft.insights                diagnosticSettings                                                                                   {M…
microsoft.insights                actiongroups                                                                                         {M…
microsoft.insights                activityLogAlerts                                                                                    {M…
microsoft.insights                workbooks                                                                                            {M…
microsoft.insights                guestDiagnosticSettings                                                                              {M…
microsoft.insights                guestDiagnosticSettingsAssociation                                                                   {M…
microsoft.insights                myWorkbooks                                                                                          {M…
microsoft.insights                dataCollectionRules                                                                                  {M…
microsoft.insights                dataCollectionRuleAssociations                                                                       {M…
microsoft.insights                privateLinkScopes                                                                                    {M…
microsoft.insights                privateLinkScopes/privateEndpointConnections                                                         {M…
microsoft.insights                privateLinkScopes/scopedResources                                                                    {M…
microsoft.insights                Components/ProactiveDetectionConfigs                                                                 {M…
microsoft.insights                Components/AnalyticsItems                                                                            {m…
microsoft.insights                Components/MyAnalyticsItems                                                                          {m…
Microsoft.IoTCentral              IoTApps                                                                                              {M…
Microsoft.IoTSpaces               Graph                                                                                                {M…
Microsoft.KeyVault                vaults                                                                                               {M…
Microsoft.KeyVault                vaults/secrets                                                                                       {M…
Microsoft.KeyVault                managedHSMs                                                                                          {M…
Microsoft.KeyVault                vaults/keys                                                                                          {M…
Microsoft.KeyVault                vaults/privateEndpointConnections                                                                    {M…
Microsoft.KubernetesConfiguration sourceControlConfigurations                                                                          {M…
Microsoft.Kusto                   clusters                                                                                             {M…
Microsoft.Kusto                   clusters/databases                                                                                   {M…
Microsoft.Kusto                   clusters/attacheddatabaseconfigurations                                                              {M…
Microsoft.Kusto                   clusters/principalassignments                                                                        {M…
Microsoft.Kusto                   clusters/databases/eventhubconnections                                                               {M…
Microsoft.Kusto                   clusters/databases/dataconnections                                                                   {M…
Microsoft.Kusto                   clusters/databases/principalassignments                                                              {M…
Microsoft.LabServices             labaccounts                                                                                          {M…
Microsoft.LabServices             labAccounts/galleryImages                                                                            {M…
Microsoft.LabServices             labAccounts/labs                                                                                     {M…
Microsoft.LabServices             labAccounts/labs/environmentSettings                                                                 {M…
Microsoft.LabServices             labAccounts/labs/users                                                                               {M…
Microsoft.Logic                   workflows                                                                                            {M…
Microsoft.Logic                   integrationAccounts                                                                                  {M…
Microsoft.Logic                   integrationServiceEnvironments                                                                       {M…
Microsoft.Logic                   integrationServiceEnvironments/managedApis                                                           {M…
Microsoft.Logic                   integrationAccounts/agreements                                                                       {M…
Microsoft.Logic                   integrationAccounts/assemblies                                                                       {M…
Microsoft.Logic                   integrationAccounts/batchConfigurations                                                              {M…
Microsoft.Logic                   integrationAccounts/certificates                                                                     {M…
Microsoft.Logic                   integrationAccounts/maps                                                                             {M…
Microsoft.Logic                   integrationAccounts/partners                                                                         {M…
Microsoft.Logic                   integrationAccounts/schemas                                                                          {M…
Microsoft.Logic                   integrationAccounts/sessions                                                                         {M…
Microsoft.Logic                   workflows/accessKeys                                                                                 {M…
Microsoft.Logic                   integrationAccounts/rosettaNetProcessConfigurations                                                  {M…
Microsoft.MachineLearning         Workspaces                                                                                           {M…
Microsoft.MachineLearning         webServices                                                                                          {M…
Microsoft.MachineLearning         commitmentPlans                                                                                      {M…
Microsoft.MachineLearningServices workspaces                                                                                           {M…
Microsoft.MachineLearningServices workspaces/computes                                                                                  {M…
Microsoft.MachineLearningServices workspaces/connections                                                                               {M…
Microsoft.MachineLearningServices workspaces/privateEndpointConnections                                                                {M…
Microsoft.ManagedIdentity         userAssignedIdentities                                                                               {M…
Microsoft.ManagedServices         registrationDefinitions                                                                              {M…
Microsoft.ManagedServices         registrationAssignments                                                                              {M…
Microsoft.Management              managementGroups                                                                                     {M…
Microsoft.Maps                    accounts                                                                                             {M…
